Target,Left_Word,Right_Word,Correct
Suicide,"Life or Not Me","Death or Me",2
Die,"Life or Not Me","Death or Me",2
Funeral,"Life or Not Me","Death or Me",2
Lifeless,"Life or Not Me","Death or Me",2
Deceased,"Life or Not Me","Death or Me",2
Dying,"Life or Not Me","Death or Me",2
Dead,"Life or Not Me","Death or Me",2
Alive,"Life or Not Me","Death or Me",1
Live,"Life or Not Me","Death or Me",1
Thrive,"Life or Not Me","Death or Me",1
Survive,"Life or Not Me","Death or Me",1
Breathing,"Life or Not Me","Death or Me",1
Being,"Life or Not Me","Death or Me",1
Living,"Life or Not Me","Death or Me",1
Myself,"Life or Not Me","Death or Me",1
My,"Life or Not Me","Death or Me",1
Mine,"Life or Not Me","Death or Me",1
I,"Life or Not Me","Death or Me",1
Self,"Life or Not Me","Death or Me",1
We,"Life or Not Me","Death or Me",1
Us,"Life or Not Me","Death or Me",1
Them,"Life or Not Me","Death or Me",2
They,"Life or Not Me","Death or Me",2
Theirs,"Life or Not Me","Death or Me",2
Their,"Life or Not Me","Death or Me",2
Other,"Life or Not Me","Death or Me",2
Themselves,"Life or Not Me","Death or Me",2
Others,"Life or Not Me","Death or Me",2